time,temperature,humidity
2019-10-29 12:53:45,77,62.0
2019-10-29 12:53:48,77,60.0
2019-10-29 12:53:51,77,60.0
2019-10-29 12:53:54,77,60.0
2019-10-29 12:53:57,77,59.0
2019-10-29 12:54:01,77,59.0
2019-10-29 12:54:04,77,59.0
2019-10-29 12:54:07,77,59.0
2019-10-29 12:54:10,77,59.0
2019-10-29 12:54:13,77,59.0
2019-10-29 12:54:16,77,59.0
2019-10-29 12:54:20,77,59.0
2019-10-29 12:54:23,77,59.0
2019-10-29 12:54:26,77,59.0
2019-10-29 12:54:29,77,59.0
2019-10-29 12:54:32,77,59.0
2019-10-29 12:54:38,77,59.0
2019-10-29 12:54:41,77,59.0
2019-10-29 12:54:44,77,59.0
2019-10-29 12:54:48,77,59.0
2019-10-29 12:54:51,77,59.0
2019-10-29 12:54:54,77,59.0
2019-10-29 12:55:00,77,59.0
2019-10-29 12:55:03,77,59.0
2019-10-29 12:55:06,77,59.0
2019-10-29 12:55:14,77,59.0
2019-10-29 12:55:17,77,59.0
2019-10-29 12:55:21,77,59.0
2019-10-29 12:55:24,77,59.0
2019-10-29 12:55:27,77,59.0
2019-10-29 12:55:30,77,59.0
2019-10-29 12:55:33,77,59.0
2019-10-29 12:55:39,77,59.0
2019-10-29 12:56:06,77,59.0
2019-10-29 12:56:09,77,59.0
2019-10-29 12:56:12,77,59.0
2019-10-29 12:56:16,77,59.0
2019-10-29 12:56:19,77,59.0
2019-10-29 12:56:25,77,59.0
2019-10-29 12:56:28,77,59.0
2019-10-29 12:56:31,77,59.0
2019-10-29 12:56:34,77,59.0
2019-10-29 12:56:37,77,59.0
2019-10-29 12:56:40,77,58.0
2019-10-29 12:56:44,77,59.0
2019-10-29 12:56:49,77,59.0
2019-10-29 12:56:55,77,58.0
2019-10-29 12:56:58,77,59.0
2019-10-29 12:57:01,77,58.0
2019-10-29 12:57:05,77,58.0
2019-10-29 12:57:08,77,58.0
2019-10-29 12:57:11,77,58.0
2019-10-29 12:57:14,77,58.0
2019-10-29 12:57:17,77,58.0
2019-10-29 12:57:20,77,58.0
2019-10-29 12:57:23,77,58.0
2019-10-29 12:57:27,77,59.0
2019-10-29 12:57:30,77,59.0
2019-10-29 12:57:33,77,58.0
2019-10-29 12:57:36,77,58.0
2019-10-29 12:57:39,77,58.0
2019-10-29 12:57:42,77,58.0
2019-10-29 12:57:46,77,58.0
2019-10-29 12:57:49,77,58.0
2019-10-29 12:57:52,77,58.0
2019-10-29 12:57:55,77,58.0
2019-10-29 12:57:58,77,58.0
2019-10-29 12:58:01,77,58.0
2019-10-29 12:58:05,77,58.0
2019-10-29 12:58:08,77,58.0
2019-10-29 12:58:11,77,58.0
2019-10-29 12:58:14,77,58.0
2019-10-29 12:58:17,77,58.0
2019-10-29 12:58:20,77,58.0
2019-10-29 12:58:24,77,58.0
2019-10-29 12:58:27,77,58.0
2019-10-29 12:58:30,77,58.0
2019-10-29 12:58:33,77,58.0
2019-10-29 12:58:36,77,58.0
2019-10-29 12:58:39,77,58.0
2019-10-29 12:58:42,77,58.0
2019-10-29 12:58:46,77,58.0
2019-10-29 12:58:49,77,58.0
2019-10-29 12:58:52,77,58.0
2019-10-29 12:58:55,77,58.0
2019-10-29 12:58:58,77,58.0
2019-10-29 12:59:02,77,58.0
2019-10-29 12:59:05,77,58.0
2019-10-29 12:59:08,77,58.0
2019-10-29 12:59:11,77,58.0
2019-10-29 12:59:17,77,58.0
2019-10-29 12:59:20,77,58.0
2019-10-29 12:59:23,77,58.0
2019-10-29 12:59:26,77,58.0
2019-10-29 12:59:29,77,58.0
2019-10-29 12:59:33,77,58.0
2019-10-29 12:59:36,77,58.0
2019-10-29 12:59:39,77,58.0
2019-10-29 12:59:42,77,58.0
2019-10-29 12:59:45,77,58.0
2019-10-29 12:59:48,77,58.0
2019-10-29 12:59:52,77,58.0
2019-10-29 12:59:55,77,58.0
2019-10-29 12:59:58,77,58.0
